chart_date,current_position,title,artist_name,last_week_position,weeks_on_chart,awards_vector
1990-02-03,54,Simple Man,The Charlie Daniels Band,47,3,
1990-02-03,55,The Race Is On,Sawyer Brown,52,3,
1990-02-03,56,Five Minutes,Lorrie Morgan,NEW,1,Highest ranking debut|Gains In Performance
1990-02-03,57,Who's Gonna Know,Conway Twitty,57,3,Gains In Performance
1990-02-03,58,Oklahoma Swing,Vince Gill With Reba,65,3,Gains In Performance
1990-02-03,59,Just As Long As I Have You,Don Williams,70,2,Gains In Performance
1990-02-03,60,Ace In The Hole,George Strait,54,3,
1990-02-10,1,Southern Star,Alabama,4,4,Gains In Performance
1990-02-10,2,Statue Of A Fool,Ricky Van Shelton,2,4,Gains In Performance
1990-02-10,3,On Second Thought,Eddie Rabbitt,6,4,Gains In Performance
1990-02-10,4,Nobody's Home,Clint Black,1,4,
1990-02-10,5,My Arms Stay Open All Night,Tanya Tucker,3,4,
1990-02-10,6,Start All Over Again,The Desert Rose Band,7,4,Gains In Performance
1990-02-10,7,No Matter How High,The Oak Ridge Boys,9,4,Gains In Performance
1990-02-10,8,When I Could Come Home To You,Steve Wariner,5,4,
1990-02-10,9,One Man Woman,The Judds,8,4,
1990-02-10,10,Overnight Success,George Strait,11,4,Gains In Performance
1990-02-10,11,Where've You Been,Kathy Mattea,10,4,
1990-02-10,12,I Can't Turn The Tide,Baillie and the Boys,12,4,Gains In Performance
1990-02-10,13,Chains,Patty Loveless,20,4,Gains In Performance
1990-02-10,14,Little Girl,Reba McEntire,15,4,Gains In Performance
1990-02-10,15,Fast Movin' Train,Restless Heart,26,4,Gains In Performance
1990-02-10,16,In My Eyes,Lionel Cartwright,13,4,
1990-02-10,17,Keep It In The Middle Of The Road,Exile,21,4,Gains In Performance
1990-02-10,18,Leave It Alone,The Forester Sisters,19,4,Gains In Performance
1990-02-10,19,Heartbreak Hurricane,Ricky Skaggs,22,4,Gains In Performance
1990-02-10,20,Sooner Or Later,Eddy Raven,30,4,Gains In Performance
1990-02-10,21,Not Counting You,Garth Brooks,32,4,Gains In Performance
1990-02-10,22,Out Of Your Shoes,Lorrie Morgan,18,4,
1990-02-10,23,Hard Rock Bottom Of Your Heart,Randy Travis,44,3,
1990-02-10,24,Two Dozen Roses,Shenandoah,24,4,
1990-02-10,25,A Woman In Love,Ronnie Milsap,17,4,
1990-02-10,26,If You Want To Be My Woman,Merle Haggard,27,4,Gains In Performance
1990-02-10,27,Seein' My Father In Me,Paul Overstreet,35,4,Gains In Performance
1990-02-10,28,It's You Again,Skip Ewing,14,4,
1990-02-10,29,Many A Long & Lonesome Highway,Rodney Crowell,16,4,
1990-02-10,30,If Tomorrow Never Comes,Garth Brooks,28,4,
1990-02-10,31,It Ain't Nothin',Keith Whitley,25,4,
1990-02-10,32,Time's Up,Southern Pacific & Carlene Carter,34,4,Gains In Performance
1990-02-10,33,That Just About Does It,Vern Gosdin,23,4,
1990-02-10,34,I've Been Loved By The Best,Don Williams,29,4,
1990-02-10,35,Tell Me Why,Jann Browne,40,4,Gains In Performance
1990-02-10,36,Till I Can't Take It Anymore,Billy Joe Royal,33,4,
1990-02-10,37,All The Fun,Paul Overstreet,37,4,
1990-02-10,38,There Goes My Heart Again,Holly Dunn,38,4,
1990-02-10,39,There You Are,Willie Nelson,31,4,
1990-02-10,40,Five Minutes,Lorrie Morgan,56,2,Gains In Performance
1990-02-10,41,Here In The Real World,Alan Jackson,51,4,Gains In Performance
1990-02-10,42,Quittin' Time,Mary Chapin Carpenter,46,4,Gains In Performance
1990-02-10,43,Who's Lonely Now,Highway 101,39,4,
1990-02-10,44,Yellow Roses,Dolly Parton,41,4,
1990-02-10,45,If Your Heart Should Ever Roll This Way Again,Jo-El Sonnier,36,4,
1990-02-10,46,Country Club,Travis Tritt,42,4,
1990-02-10,47,It's Just A Matter Of Time,Randy Travis,45,4,
1990-02-10,48,"She's Gone, Gone, Gone",Glen Campbell,48,4,
1990-02-10,49,Oklahoma Swing,Vince Gill With Reba,58,4,Gains In Performance
1990-02-10,50,The Vows Go Unbroken (Always True To You),Kenny Rogers,47,4,
1990-02-10,51,Amy's Eyes,Charley Pride,53,4,Gains In Performance
1990-02-10,52,The Race Is On,Sawyer Brown,55,4,
1990-02-10,53,Just As Long As I Have You,Don Williams,59,3,Gains In Performance
1990-02-10,54,Who's Gonna Know,Conway Twitty,57,4,Gains In Performance
1990-02-10,55,Bayou Boys,Eddy Raven,52,4,
1990-02-10,56,Right In The Wrong Direction,Vern Gosdin,70,2,Gains In Performance
1990-02-10,57,When It's Gone,Nitty Gritty Dirt Band,49,4,
1990-02-10,58,Simple Man,The Charlie Daniels Band,54,4,
1990-02-10,59,The Lonely Side Of Love,Patty Loveless,50,4,
1990-02-10,60,Time For Me To Fly,Dolly Parton,67,2,Gains In Performance
1990-02-17,1,On Second Thought,Eddie Rabbitt,3,5,Gains In Performance
1990-02-17,2,No Matter How High,The Oak Ridge Boys,7,5,Gains In Performance
1990-02-17,3,Southern Star,Alabama,1,5,
1990-02-17,4,Statue Of A Fool,Ricky Van Shelton,2,5,
1990-02-17,5,Nobody's Home,Clint Black,4,5,
1990-02-17,6,Start All Over Again,The Desert Rose Band,6,5,Gains In Performance
1990-02-17,7,Chains,Patty Loveless,13,5,Gains In Performance
1990-02-17,8,Overnight Success,George Strait,10,5,Gains In Performance
1990-02-17,9,I Can't Turn The Tide,Baillie and the Boys,12,5,Gains In Performance
1990-02-17,10,Where've You Been,Kathy Mattea,11,5,
1990-02-17,11,Fast Movin' Train,Restless Heart,15,5,Gains In Performance
1990-02-17,12,My Arms Stay Open All Night,Tanya Tucker,5,5,
1990-02-17,13,Hard Rock Bottom Of Your Heart,Randy Travis,23,4,Gains In Performance
1990-02-17,14,One Man Woman,The Judds,9,5,
1990-02-17,15,Little Girl,Reba McEntire,14,5,
1990-02-17,16,When I Could Come Home To You,Steve Wariner,8,5,
1990-02-17,17,Leave It Alone,The Forester Sisters,18,5,Gains In Performance
1990-02-17,18,Keep It In The Middle Of The Road,Exile,17,5,
1990-02-17,19,Heartbreak Hurricane,Ricky Skaggs,19,5,Gains In Performance
1990-02-17,20,Sooner Or Later,Eddy Raven,20,5,Gains In Performance
1990-02-17,21,Seein' My Father In Me,Paul Overstreet,27,5,Gains In Performance
1990-02-17,22,Not Counting You,Garth Brooks,21,5,
1990-02-17,23,If You Want To Be My Woman,Merle Haggard,26,5,Gains In Performance
1990-02-17,24,Tell Me Why,Jann Browne,35,5,Gains In Performance
1990-02-17,25,Five Minutes,Lorrie Morgan,40,3,Gains In Performance
1990-02-17,26,Time's Up,Southern Pacific & Carlene Carter,32,5,Gains In Performance
1990-02-17,27,Out Of Your Shoes,Lorrie Morgan,22,5,
1990-02-17,28,Two Dozen Roses,Shenandoah,24,5,
1990-02-17,29,A Woman In Love,Ronnie Milsap,25,5,
1990-02-17,30,Quittin' Time,Mary Chapin Carpenter,42,5,Gains In Performance
1990-02-17,31,In My Eyes,Lionel Cartwright,16,5,
1990-02-17,32,I've Been Loved By The Best,Don Williams,34,5,
1990-02-17,33,If Tomorrow Never Comes,Garth Brooks,30,5,
1990-02-17,34,Here In The Real World,Alan Jackson,41,5,Gains In Performance
1990-02-17,35,It's You Again,Skip Ewing,28,5,
1990-02-17,36,It Ain't Nothin',Keith Whitley,31,5,
1990-02-17,37,Oklahoma Swing,Vince Gill With Reba,49,5,Gains In Performance
1990-02-17,38,That Just About Does It,Vern Gosdin,33,5,
1990-02-17,39,Many A Long & Lonesome Highway,Rodney Crowell,29,5,
1990-02-17,40,Just As Long As I Have You,Don Williams,53,4,Gains In Performance
1990-02-17,41,All The Fun,Paul Overstreet,37,5,
1990-02-17,42,Till I Can't Take It Anymore,Billy Joe Royal,36,5,
1990-02-17,43,Who's Lonely Now,Highway 101,43,5,
1990-02-17,44,There Goes My Heart Again,Holly Dunn,38,5,
1990-02-17,45,Yellow Roses,Dolly Parton,44,5,
1990-02-17,46,It's Just A Matter Of Time,Randy Travis,47,5,
1990-02-17,47,Stranger Things Have Happened,Ronnie Milsap,72,2,
1990-02-17,48,There You Are,Willie Nelson,39,5,
1990-02-17,49,"She's Gone, Gone, Gone",Glen Campbell,48,5,
1990-02-17,50,The Vows Go Unbroken (Always True To You),Kenny Rogers,50,5,
1990-02-17,51,Ain't Nobody's Business,Hank Williams Jr.,65,2,Gains In Performance
1990-02-17,52,Right In The Wrong Direction,Vern Gosdin,56,3,Gains In Performance
1990-02-17,53,Country Club,Travis Tritt,46,5,
1990-02-17,54,The Race Is On,Sawyer Brown,52,5,
1990-02-17,55,Go Down Swingin',Wild Rose,63,5,Gains In Performance
1990-02-17,56,"Walkin', Talkin', Cryin', Barely Beatin' Broken Heart",Highway 101,73,3,Gains In Performance
1990-02-17,57,Amy's Eyes,Charley Pride,51,5,
1990-02-17,58,Who's Gonna Know,Conway Twitty,54,5,
1990-02-17,59,Time For Me To Fly,Dolly Parton,60,3,Gains In Performance
1990-02-17,60,Simple Man,The Charlie Daniels Band,58,5,
1990-02-24,1,On Second Thought,Eddie Rabbitt,1,6,Gains In Performance
1990-02-24,2,No Matter How High,The Oak Ridge Boys,2,6,Gains In Performance
1990-02-24,3,Southern Star,Alabama,3,6,
